python: can't open file 'python': [Errno 2] No such file or directory
Loading data ...
Traceback (most recent call last):
  File "grid_knn_demo.py", line 214, in <module>
    VALIDATION = ('validation' == sys.argv[1])
IndexError: list index out of range
Loading data ...
Bayesian Optimization mode. Taking last 10% of training as test set.
[31mInitialization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
    1 | 14m58s | [35m   0.54776[0m | [32m      25.0000[0m | [32m   5.0000[0m | [32m   4.0000[0m | [32m     15.0000[0m | [32m     3.0000[0m | [32m 500.0000[0m | [32m1000.0000[0m | [32m  10.0000[0m | 
    2 | 12m31s |    0.54006 |       23.0768 |    9.2053 |    3.6328 |      13.6097 |      5.3646 |  778.9991 |  946.9871 |    3.9406 | 
    3 | 14m50s |    0.50476 |        7.2463 |   10.3006 |    1.2635 |      22.0820 |      3.7961 |  250.6567 |  582.7818 |   18.4792 | 
    4 | 12m08s |    0.53274 |       22.4213 |    6.9953 |    2.6918 |      13.8077 |      8.0953 |  990.0684 | 1977.5329 |   11.8938 | 
    5 | 12m28s |    0.54137 |       28.2473 |    5.3692 |    8.8348 |      17.0753 |      9.3431 |  887.2862 | 1980.9169 |    7.8189 | 
[31mBayesian Optimization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
    6 | 15m03s |    0.52721 |       32.3643 |    2.4250 |    9.2156 |       6.0287 |      5.4686 |  330.3339 |  961.6715 |   18.3273 | 
    7 | 10m50s |    0.53491 |       17.5665 |   13.7782 |    4.5126 |       9.1848 |      4.4353 |  876.1372 |  932.4723 |    2.6934 | 
    8 | 12m48s |    0.53135 |       18.7744 |    7.4928 |    4.8436 |       9.0900 |      7.2955 |  321.2740 | 1981.1909 |   12.9267 | 
    9 | 15m22s |    0.53427 |       32.6522 |   11.2766 |    2.3287 |      19.9446 |      8.2135 |  717.6817 |  951.8429 |   13.9887 | 
   10 | 13m56s |    0.54062 |       20.6104 |    5.6122 |    4.8289 |      23.0362 |      7.7071 |  514.7881 | 1238.9808 |    2.5012 | 
   11 | 15m53s |    0.54014 |       37.3386 |   11.9663 |    1.7689 |      23.2567 |      2.0088 |  332.2984 |  942.7746 |   13.5778 | 
   12 | 13m19s |    0.53282 |       37.7624 |   12.5095 |    2.4637 |      24.8903 |      9.2019 |  949.2396 | 1762.2249 |   11.3936 | 
   13 | 12m03s |    0.52819 |       31.7895 |   12.1327 |    5.8897 |       5.0147 |      1.3261 |  318.7081 | 1284.9676 |   18.2513 | 
   14 | 12m06s |    0.53604 |       23.9758 |    3.4300 |    6.7926 |      26.6836 |      1.3593 |  956.8510 | 1933.9356 |    2.2626 | 
   15 | 10m35s |    0.53261 |       13.9247 |    8.5000 |    7.0219 |       7.4050 |      2.3561 |  704.4068 | 1764.5542 |   11.3244 | 
   16 | 14m03s |    0.54342 |       35.5092 |   13.7383 |    2.4118 |      15.0196 |      2.6144 |  321.1232 | 1348.8663 |    8.5085 | 
   17 | 18m17s |    0.51810 |       20.8457 |    1.7691 |    2.7237 |      15.7311 |      6.6228 |  778.1884 |  505.0173 |   16.8409 | 
   18 | 12m13s |    0.54049 |       15.9918 |    5.8211 |    7.2394 |      26.6640 |      2.5190 |  850.4136 | 1274.4075 |    9.3110 | 
   19 | 16m14s |    0.54303 |       38.2188 |    2.4650 |    5.3043 |      16.8320 |      4.6517 |  439.4918 | 1306.7878 |   15.5975 | 
   20 | 12m21s |    0.54138 |       25.1863 |   13.9959 |    4.2807 |      13.2511 |      9.0225 |  610.0374 | 1411.1648 |    9.3500 | 
   21 | 14m06s |    0.52798 |       36.5023 |    4.9514 |    8.3571 |      24.8628 |      5.0428 |  913.4159 |  724.4410 |    3.8418 | 
   22 | 11m32s |    0.54222 |       33.0393 |   14.0895 |    8.6795 |      16.6802 |      3.8606 |  644.6902 | 1881.6680 |   10.1363 | 
   23 | 12m37s |    0.54098 |       38.7375 |   13.7597 |    5.5088 |       8.1444 |      8.1994 |  624.7037 | 1651.3855 |    9.8534 | 
   24 | 11m58s |    0.53091 |       23.5541 |   13.3149 |    1.8078 |       8.2369 |      8.4645 |  389.3515 | 1194.7602 |    2.7922 | 
   25 | 15m13s |    0.53901 |       39.1061 |    7.1791 |    6.0286 |      20.3054 |      5.4962 |  401.6377 |  755.4058 |    4.1082 | 
   26 | 15m01s |    0.54360 |       30.2888 |    9.5949 |    5.4680 |      27.7545 |      4.8609 |  348.0394 |  868.5399 |    4.9932 | 
   27 | 14m29s |    0.53929 |       33.9872 |    4.8462 |    5.3843 |      17.8193 |      9.8405 |  494.3034 | 1386.0456 |    4.0836 | 
   28 | 11m14s |    0.51954 |       13.4821 |    7.0418 |    8.5160 |       6.0447 |      8.3572 |  983.3913 |  768.2837 |   11.8730 | 
   29 | 10m48s |    0.52461 |       11.8445 |    6.2953 |    6.1453 |      11.2153 |      1.5178 |  891.0397 | 1199.2777 |   17.0964 | 
   30 | 11m33s |    0.53705 |       26.0421 |   13.2440 |    8.0337 |      15.1382 |      9.3703 |  742.1517 | 1435.0934 |    2.3366 | 
   31 | 13m18s |    0.54622 |       29.2512 |    9.7338 |    5.5419 |      22.4042 |      4.3018 |  569.4150 | 1552.6166 |   13.5409 | 
   32 | 14m36s |    0.52770 |       31.7661 |    7.3297 |    6.1314 |      11.7841 |      9.1952 |  389.0547 |  558.3789 |    8.7768 | 
[31mBayesian Optimization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
   33 | 12m19s |    0.53973 |       36.0173 |    8.9123 |    4.0861 |       9.6433 |      7.2501 |  750.3735 | 1865.6028 |    7.2474 | 
   34 | 10m23s |    0.52504 |        9.1759 |   13.9431 |    4.7110 |      12.4678 |      5.0396 |  733.0139 | 1853.0162 |   11.5528 | 
   35 | 14m50s |    0.52936 |       13.0425 |    1.7642 |    6.9447 |      14.9606 |      6.7299 |  510.7520 |  774.4504 |   13.0640 | 
   36 | 12m19s |    0.50768 |        6.6012 |    8.9130 |    1.5505 |      23.3280 |      8.9114 |  441.6685 | 1216.3309 |   10.4108 | 
   37 | 11m38s |    0.51122 |       15.6500 |    5.7227 |    1.0307 |      18.2160 |      9.6493 |  956.4957 | 1729.9322 |   10.7151 | 
   38 | 11m41s |    0.53007 |       36.2017 |    9.0914 |    1.6169 |       8.3262 |      4.0435 |  812.2982 | 1575.2583 |    8.0118 | 
   39 | 10m03s |    0.52470 |        8.9428 |   12.8400 |    5.4432 |      16.8644 |      3.1164 |  892.5873 | 1627.1326 |    4.0990 | 
   40 | 11m05s |    0.48983 |        7.1791 |    9.5915 |    6.3955 |       6.6736 |      5.2867 |  698.7884 |  503.7202 |   18.0567 | 
   41 | 13m48s |    0.52225 |       10.1533 |    4.9092 |    3.8569 |      29.7897 |      5.8246 |  780.9928 |  681.3982 |   15.3748 | 
   42 | 11m36s |    0.53832 |       20.4606 |    5.3332 |    4.3459 |       6.2589 |      1.5129 |  714.0090 |  762.8758 |    6.2286 | 
   43 | 15m08s |    0.53230 |       27.7472 |   14.2817 |    2.1761 |      15.5969 |      4.3777 |  313.8723 | 1385.3414 |   16.6928 | 
   44 | 12m00s |    0.53215 |       21.1749 |   14.0491 |    2.2722 |       7.7140 |      5.8892 |  843.2140 |  708.9000 |    7.6481 | 
   45 | 13m03s |    0.54374 |       20.2619 |   13.5259 |    3.7037 |      24.7780 |      1.7804 |  477.7792 | 1203.8648 |   13.2818 | 
   46 | 13m00s |    0.53101 |       27.4490 |    7.8819 |    9.3314 |      15.4623 |      3.4685 |  620.0520 |  671.3614 |   14.1357 | 
   47 | 12m05s |    0.52318 |       22.2238 |    9.5209 |    1.2757 |      20.7552 |      8.7886 |  781.3914 | 1538.8361 |    6.7858 | 
   48 | 13m52s | [35m   0.54822[0m | [32m      28.7805[0m | [32m   7.4627[0m | [32m   4.5704[0m | [32m     18.4148[0m | [32m     3.6240[0m | [32m 485.8370[0m | [32m1125.9184[0m | [32m   9.6721[0m | 
   49 | 13m38s |    0.53917 |       38.9714 |   14.8094 |    4.4228 |      19.9494 |      1.0651 |  580.3060 |  764.3052 |   13.0439 | 
   50 | 13m58s |    0.53518 |       37.6779 |    4.5718 |    2.8023 |       9.3327 |      6.1547 |  822.3090 | 1202.3502 |   16.6764 | 
   51 | 18m34s |    0.53175 |       19.2341 |    2.7505 |    8.4721 |      24.1944 |      4.4508 |  271.8204 |  651.7003 |   11.1503 | 
   52 | 19m32s |    0.54130 |       15.7830 |   10.8083 |    5.0975 |      18.0031 |      1.2601 |  532.5726 |  873.7453 |    9.2347 | 
   53 | 19m24s |    0.53781 |       18.9130 |    7.2733 |    9.2353 |      17.9492 |      4.4383 |  472.8948 | 1962.1673 |    5.9018 | 
